split,index
train,1233179
train,666046
train,861310
train,947283
train,1262226
test,1140726
train,1213931
train,972358
train,1287301
train,94483
train,335827
train,610877
train,407211
train,642368
train,963727
test,1245358
train,522460
train,1036868
train,1196440
test,1318728
train,1391704
train,434043
train,822356
train,902142
train,450258
train,1082359
train,874263
train,676784
train,1067312
train,783631
train,1331516
train,1367208
train,411533
train,1203206
train,369425
train,12374
train,961633
test,1087893
train,201222
train,755523
test,1389775
train,1210790
train,406285
train,599334
train,42818
train,800785
train,1147219
train,1346684
test,1393158
train,1226776
train,664073
train,745845
train,1340039
test,1142954
train,1371530
train,535763
train,21126
train,932478
train,531333
train,1163434
train,684489
train,1238790
train,1350067
train,673872
train,631764
train,1270052
train,866692
train,1221528
train,1250804
train,694288
train,1051110
test,1124874
train,1315543
train,479776
train,1351006
train,1147340
train,393345
train,1226897
train,1302482
train,1058923
train,624072
train,1337945
train,1134279
train,892706
train,1167756
train,604824
train,407345
train,1194588
train,1226079
train,37462
train,1141863
train,782597
train,618824
train,1255126
train,536823
train,776181
train,135678
train,614394
train,1086923
train,1162508
train,1206602
train,406298
train,322311
train,801027
train,712839
train,792625
train,1269126
train,1065460
train,987660
train,1143031
train,666301
train,1260495
train,1380403
train,701764
train,810826
train,890612
train,1369328
train,684731
train,1314617
train,1196924
train,791349
train,911028
train,1345650
train,745040
train,1059983
test,1387923
train,1137554
train,1082614
train,326633
train,1160185
train,477803
train,603669
train,956519
train,910210
train,792517
train,1279864
train,1258630
train,1344603
train,819578
train,1172199
train,535897
train,890733
train,1087983
train,964103
train,407587
train,642744
test,970684
train,1121460
train,1121689
train,1320925
train,434648
train,793685
train,1104427
train,1112829
train,908934
train,1137904
train,1099997
train,1266214
train,978103
train,1057889
train,1173367
train,450863
train,809900
test,1364366
train,1200199
train,324539
train,433601
train,393479
train,702235
train,981486
train,1063258
train,1145259
train,1256536
train,1203582
train,14965
train,722651
train,82148
train,396862
train,711805
train,785175
train,1064426
train,1175703
train,1184105
train,1133595
train,377614
train,1167072
train,1244643
train,368754
train,1200320
train,599710
train,1315798
train,1271475
train,1380537
train,1336443
train,1256428
train,1052533
train,1205918
train,1077608
train,521092
train,1157394
train,1279059
train,432675
train,1224348
train,1344027
train,1383691
train,587817
train,701309
train,619308
train,1060117
train,1368873
train,652785
train,1253166
train,969714
train,652556
train,450876
train,1116454
train,1231703
train,866250
train,702248
train,380889
train,618032
train,800464
train,682771
train,2375
train,712047
train,1304026
train,1100131
train,1331087
train,1162884
train,1351503
train,1099084
train,809216
train,926680
train,449950
train,1365503
train,1073420
train,518890
train,665859
train,986989
train,1066775
train,1144575
train,422071
train,1377517
train,818786
train,222377
train,925633
train,247223
train,475964
train,908371
train,1099434
train,181666
train,1130696
train,61758
train,926801
train,1046480
train,1082172
train,603227
train,643120
train,1396886
test,437404
train,663765
train,1220052
train,1259945
train,1333544
train,211881
train,1205005
train,648489
train,799659
train,1074709
train,478071
train,1150065
train,1305436
train,971245
train,1088709
train,651872
train,124632
train,397467
train,672517
train,987460
train,1188911
train,1226818
train,1228804
train,504314
train,1275113
train,382420
train,422313
train,380205
train,382191
train,1176079
train,493468
train,1180280
train,1295758
train,52201
train,684302
train,1120910
train,1278496
train,119155
train,1141555
train,1336819
train,181908
train,979768
train,1132924
train,1015231
train,1288295
train,1370067
train,1201864
train,995983
train,1155555
train,1310926
train,431065
train,1065152
train,1300309
train,664007
train,703900
train,1335772
train,1297865
train,1293664
train,1129891
train,886103
train,1203032
train,917365
train,1272201
train,1234294
train,793256
train,1108199
train,1261355
train,421387
train,736330
train,1332510
train,490327
train,1328080
train,477495
train,916318
train,634852
train,1386632
train,1063058
train,1342309
train,1176321
train,653282
train,1085689
train,170136
train,764330
train,1356309
train,598113
train,791391
train,1070642
train,910841
train,1341262
train,142028
train,1208751
train,1091058
test,1379105
test,856066
train,882962
train,683268
train,1105058
train,621912
train,934869
train,1132119
train,1373692
train,970332
train,693067
train,1165596
train,411601
train,445307
train,1123488
train,1369262
train,1268013
train,1343598
train,826975
train,1385477
train,1099810
train,1297060
train,217734
train,971500
test,1129251
train,811699
train,763404
train,956453
train,1271396
train,1153703
train,395507
train,867807
train,1142857
train,1220657
train,338581
train,336366
train,1203395
train,1112763
train,875391
train,623201
test,1097881
train,969406
train,1046977
train,876559
train,395628
train,790357
train,947943
train,1185086
train,504690
train,143438
train,382796
train,424675
train,535952
train,1174240
train,493844
train,649215
train,1247610
test,1260836
train,369735
train,409628
train,1238979
train,1278872
train,1110898
train,1283302
test,875906
train,1108683
train,1186254
train,782894
train,818586
train,812170
train,1084776
train,1040682
train,165022
train,1120468
train,874694
train,1196053
train,32282
train,666369
train,786048
train,25866
train,1334162
train,382688
train,536073
train,932788
train,1201422
train,764585
train,802263
train,1115220
train,520797
train,1152898
train,432609
train,421763
train,503535
train,978050
train,933956
train,1009541
train,1131206
train,1292993
train,1082911
train,406716
train,368809
train,324715
train,606181
train,845539
test,1160647
train,479857
train,1236067
train,710813
train,433548
train,868170
train,1271530
train,1218805
train,899432
train,1052817
train,1134589
train,1044186
train,600704
train,753860
test,875919
test,955705
train,1301974
train,1217758
train,1257651
train,1377330
train,1137743
train,654826
test,1056136
train,612718
train,1167019
train,1284712
train,925446
train,1200496
train,1286698
test,1164969
train,1273866
train,673027
train,979568
train,1176818
train,1252174
train,1084200
train,493978
train,609456
train,1157341
test,1163922
train,1312712
train,987152
test,1153305
train,711873
train,1220094
train,466099
train,978521
train,535268
train,1167140
train,411159
train,810089
train,604208
test,54273
train,446622
train,961030
train,1238295
train,755149
train,1393666
train,1145677
train,383280
train,822103
train,819888
train,1141247
train,1168308
test,933316
train,1166093
train,1239463
train,676531
train,1190939
train,355172
train,1348296
train,672101
train,1341880
train,665685
train,100767
train,1364740
train,614946
train,1204939
train,478234
train,1347478
train,1145569
train,1345034
train,656007
train,378742
train,616114
train,1208322
train,412219
train,1243785
train,1237369
train,244016
train,1306538
train,1102643
train,1144522
train,62981
train,1056105
train,932225
train,1249154
train,1362417
train,1041058
train,165398
train,354246
train,1347370
train,1061703
train,782223
train,822116
train,301292
train,620436
train,1208214
train,1159919
train,802868
train,477308
train,1346552
train,1337692
train,337923
train,772545
train,755512
train,910883
train,1274121
train,396246
train,908668
train,946346
train,1298967
train,968977
train,643417
train,1321598
train,953930
train,790157
train,191533
train,1375720
train,900976
train,692880
train,772666
train,684478
test,1171990
train,1245195
train,600262
train,875312
train,1112455
train,1108254
train,711310
train,1307719
train,339441
train,931420
train,1330350
train,1124469
train,683431
train,206701
train,521644
train,1241933
train,834372
train,954051
train,353441
train,867849
train,790049
train,1109422
train,747941
train,1062884
train,1142670
train,1222456
train,424367
train,775002
train,1253718
train,646692
train,1200993
train,161560
train,1185946
test,1387791
train,625229
train,900279
train,1261302
train,1296994
test,1379160
train,423320
train,139868
train,1254886
train,885232
train,1118174
train,643430
test,962968
train,397656
train,353562
train,876372
train,949971
train,1172067
train,1134160
train,1367331
train,247883
train,1163207
train,596074
train,1228175
train,1173006
train,1288484
train,931433
train,647752
train,1359639
train,1229343
train,193882
train,899353
train,1254189
train,1380055
train,61371
train,340622
train,1253960
train,1089958
train,642733
train,600396
train,1341559
train,383898
train,618826
train,931783
train,971447
train,927353
train,490516
test,891826
train,1084939
train,1162510
train,712841
train,1105355
train,1340512
train,1260497
train,783767
train,1334096
train,378421
train,890843
train,493670
train,1081677
train,1188524
train,1305988
train,656625
train,647994
train,1395573
train,1154000
train,916628
train,240433
train,477576
train,1183047
train,424851
train,1373881
train,1329787
train,653363
train,1203463
train,1041676
train,993152
train,508020
train,665377
train,745163
train,1131490
train,448650
train,364663
train,1242309
train,477926
train,1344955
train,1346941
train,25813
train,380649
train,1363385
train,325938
train,605189
train,325709
train,1316847
train,1075274
train,909286
train,1144443
train,1148644
train,228661
train,503711
train,379831
train,894239
train,934132
train,379602
train,335508
train,1370969
train,1000857
train,757298
train,1355693
train,1395586
train,790775
train,1347062
test,1305348
train,782144
train,1216766
train,1214551
train,412261
train,924454
train,1000039
train,323844
train,882346
train,962132
train,477000
train,121935
train,596450
train,1148765
test,1270824
train,424046
train,692451
train,324783
train,1349398
train,1187611
train,1265182
train,1143288
train,1096979
train,1174550
train,884682
train,246165
train,479107
train,1111208
train,1188779
train,1150872
train,1106778
train,1379613
train,379844
train,613015
train,692801
train,925743
train,957005
train,1234041
train,673324
train,1187732
train,1303210
train,1328023
train,584907
train,979636
train,893205
train,210823
train,933098
train,248501
train,882588
train,764895
train,1197531
train,1281518
train,1361533
train,395241
train,949313
train,785540
train,1064791
train,1215961
test,1310730
train,701324
train,934495
train,772708
train,1131745
train,1280700
train,883756
test,1160957
train,1194269
train,1072375
train,1300887
train,616290
train,1210484
train,1126497
train,765016
train,920387
train,643122
train,718707
train,874078
train,915957
test,1277603
train,395133
train,949434
train,1148899
train,1266592
train,1304270
train,1178175
train,1060482
train,1375654
train,100835
train,340193
train,657122
train,1324915
train,1377640
train,917354
train,1078912
train,1123006
train,39479
train,1156483
train,1185759
train,1263330
train,1044617
train,926924
train,685351
train,1075879
train,365978
train,953985
train,1273129
train,351160
train,712183
train,1069234
train,506302
train,623766
train,663659
train,774936
train,1051972
train,335884
train,449376
train,1285143
train,1324807
train,1396191
train,875367
train,957139
train,986415
train,625163
train,784735
train,1179464
train,1091047
train,656196
train,1122309
train,987583
train,397361
train,36109
train,1293895
train,737379
train,735164
train,1325157
train,52324
train,1079154
test,522803
train,432235
train,1099799
train,503390
train,1330297
train,1046845
train,410543
train,1370190
train,1080322
train,244326
train,947582
test,1069641
train,737271
train,1251679
train,1087906
train,606975
train,212017
train,1352110
train,436557
train,711607
train,1234417
train,1301371
train,106567
train,900226
train,383603
train,106338
train,1376956
train,776117
train,1248646
train,773902
train,446356
train,885179
train,1084644
train,397832
train,907810
train,783930
train,1107275
train,1386526
train,617713
train,449510
train,1079396
train,1161168
train,1188229
train,154983
train,1097826
train,503403
train,16056
train,1080564
train,883085
train,1082550
test,1204609
train,1395507
train,1231505
train,397724
test,1147683
train,1378245
train,1220659
train,1256351
train,1136443
train,420355
train,489524
train,1199196
train,802252
train,474477
train,396677
train,421752
train,383845
train,623203
train,902454
train,656680
train,1095503
train,16177
train,490692
train,973609
train,648049
train,1160471
train,1286566
train,1366352
train,836897
train,916683
train,433537
train,1052577
train,336489
train,932669
train,647002
train,1238981
train,642572
train,1354459
train,753849
test,1039681
test,917787
train,354690
train,1070778
train,1148578
train,228595
train,104715
test,1150729
train,734601
train,1270243
train,925206
train,803312
train,782078
train,1134470
train,617847
train,1285640
train,1048268
train,1083960
train,474490
train,350610
train,827340
train,1343734
train,1131437
train,927542
train,1040805
train,1118376
train,521967
train,517766
train,755138
train,979449
train,1134820
train,1180900
train,1373949
train,1044188
train,1314808
train,479041
train,1348285
train,909233
train,900831
train,986804
train,617150
train,532934
train,1005463
train,954495
train,1345023
train,626720
train,901770
train,26110
train,1374299
train,382932
train,19694
train,601056
train,753983
train,1341990
train,980509
train,1287050
train,1249143
train,1207035
train,765997
train,522438
train,1078725
train,1154310
train,746749
train,1225465
train,1139263
train,939569
train,891274
train,534223
train,1371976
train,368235
test,1044595
train,1203773
train,962200
train,1041986
test,1084259
train,1272942
train,745702
train,1213801
train,1169478
train,1131571
train,614948
train,728440
train,327295
train,1005476
train,1171464
train,799595
train,954737
train,832843
train,702547
train,1177062
train,616345
train,1095061
train,1130753
train,616116
train,651808
train,488035
train,1250432
train,1394728
train,1073369
train,623929
train,1258016
train,224770
train,424235
train,1176015
train,810333
train,493175
train,719701
train,755393
train,1072551
train,1227922
train,1341185
train,1143706
test,1341121
train,1048873
train,99614
train,1246123
train,1392863
train,355416
train,874025
train,1104981
train,819085
train,684359
train,1396017
train,1072672
train,1232244
train,711420
train,673513
train,1185935
train,505310
train,736266
train,1336647
train,1088887
train,685527
train,1363708
train,916254
train,435323
train,710373
train,1138579
train,1100672
train,663835
train,1056578
test,622121
train,338275
train,972362
train,655204
train,1367091
train,1373507
train,728574
train,407215
train,766252
train,925824
train,799729
train,673634
train,1305506
train,1263398
train,774065
train,450262
train,1279613
train,1036054
train,1077933
train,1393105
train,1069531
train,1103008
train,1384245
train,701863
train,703849
train,861435
train,1253949
train,1337936
train,340382
train,1129840
test,1287591
train,531216
train,1045624
train,682386
train,1161102
train,436612
train,869019
train,1223855
train,866804
train,1303641
train,1061839
train,1213009
train,368611
train,250918
train,408504
train,1317641
train,364181
train,756924
train,754709
train,1197733
train,1275533
train,987651
train,1306795
train,149669
train,1333856
train,1295949
train,1172069
train,1048189
train,1010282
train,1127975
test,1338222
test,369944
train,516519
train,117360
train,829247
train,986604
train,1337010
train,1215116
train,891771
train,1206714
train,530519
train,931435
train,326624
train,683446
test,1227295
train,1063128
train,1182807
train,1256406
test,1296464
train,1298285
train,655567
train,1287668
test,613624
test,1048246
train,1279037
train,631889
train,665137
test,1097938
train,410961
train,1364192
train,488532
train,410732
train,1084712
test,1124999
train,916738
train,479901
train,1158082
train,1322084
train,754722
train,506962
train,979262
train,1256298
train,691380
train,890616
train,1123558
test,1159644
train,1276943
train,1392192
train,909275
train,946953
train,785166
train,1104310
train,694534
train,1318004
train,643795
train,599701
train,1309373
train,1149572
train,586869
train,1185264
test,626927
train,1378313
train,536130
train,336436
train,1207895
train,682870
train,882335
train,920013
train,915812
train,1239157
train,1352420
train,1396743
train,1268204
train,986738
train,1213493
train,932027
train,492975
train,1324541
train,1322326
train,883274
train,1202418
train,1114230
test,1242705
train,710870
train,190046
train,1260970
train,1216647
train,979275
train,338772
train,882456
train,1323265
train,1079706
train,394880
train,987088
train,986859
train,902872
train,663285
train,1058014
train,381819
train,694776
train,1095921
train,1206969
train,1242661
train,1251063
test,1167241
train,502895
train,1130566
train,609513
train,808978
train,800347
train,84259
train,1270661
train,157629
train,1068981
train,188891
train,1060350
train,1175828
train,125320
train,518063
train,757421
train,704696
train,108287
train,423001
train,1132673
train,407954
train,1394891
train,997947
train,323738
train,1232875
train,397108
train,1266352
train,625849
train,900899
train,503955
train,663527
train,1297614
train,1247104
train,531016
train,533002
train,1242903
train,1120780
train,1194379
train,799421
train,1038779
train,584909
train,744481
train,1179103
train,1097102
train,1287936
train,924698
train,1323628
train,1357105
train,1153439
train,1354890
train,237657
train,477015
train,1144808
train,621769
train,701555
train,772710
train,522506
train,875127
train,1231949
train,946282
train,820187
train,1128714
train,933221
train,410411
train,605675
train,1128485
train,1239762
train,1327950
train,1233346
train,1075760
train,1111223
train,1151116
train,231362
train,1054297
train,734924
train,608829
train,1190191
train,673568
train,713461
train,433981
train,746938
train,1183546
train,746709
train,383471
train,1097344
train,1376824
train,217483
train,1204191
train,920510
train,324101
train,874201
train,754293
train,867785
train,745891
train,1386394
test,1386559
train,819261
train,617581
train,1371347
train,63051
test,1136355
train,926108
train,1077049
train,1148204
train,986417
train,383363
train,379162
test,1208907
test,1053307
train,1042525
test,1093200
train,322236
train,1319790
train,206529
train,477378
train,588426
train,1140512
train,1335776
train,300544
train,1371468
test,1134261
train,1238957
train,682441
train,684427
train,875490
train,1186003
train,503392
train,1213064
train,1334729
train,1366220
train,947813
train,947584
train,783811
train,1092338
train,1138418
train,1212017
train,964028
train,1362958
train,88139
train,520546
train,1385589
train,829073
train,503513
train,1141801
train,341497
train,1313387
train,1271279
train,435512
train,954121
train,422451
train,1329602
train,493835
train,535714
train,1367280
train,602668
train,877718
train,997397
train,1194876
train,1196862
train,1234540
train,745207
train,1060150
train,505620
train,860456
train,940242
train,1139707
train,1219493
train,1324354
train,927410
train,1206661
train,368679
train,763408
train,366464
train,1235937
train,477741
train,1105412
train,349431
train,32273
train,987719
train,1256353
train,535835
train,691206
train,365646
train,605004
train,1039626
train,1123613
train,436572
train,946779
train,1259736
train,1257521
train,1335092
train,1290998
train,337538
train,410908
train,446600
train,368800
train,1040794
train,1200366
test,1286733
train,517526
train,1340690
train,1096673
train,809020
train,1314568
train,711972
train,115563
train,909222
train,1230581
train,1350260
train,426076
train,612709
test,621276
test,1053912
train,1204688
train,1322381
train,446492
train,1395522
train,519862
train,395982
train,1151963
train,782080
test,1307270
train,147764
train,1374059
train,99469
train,1325535
train,1115224
train,917745
train,1308273
train,827342
train,783019
train,692616
train,10005
train,91777
train,326934
train,364841
train,435767
train,790603
train,420949
train,1298595
train,378841
train,221255
train,412318
train,17360
train,1319240
train,605138
train,521151
train,911679
train,754093
train,789785
train,1064606
train,1135761
train,493272
train,16313
train,1127130
train,710938
train,1296730
train,941665
train,1141130
train,651797
train,93066
train,412210
train,1086190
train,682830
train,916001
train,716307
train,353069
train,1226514
train,1302099
train,1348408
train,934202
train,764013
train,1236313
train,1272005
train,522211
train,601997
train,1225467
train,186034
train,80355
train,1388422
test,160077
train,747690
train,1383992
train,619609
train,900846
train,1377576
train,1247280
train,409298
train,1312019
train,1351912
train,1070446
train,354358
train,1227574
train,505299
train,624978
train,1340837
train,383176
train,891397
train,1254635
train,294759
train,1361482
train,244249
train,683072
train,521285
train,517084
train,353311
train,672455
train,1388543
train,747811
train,380143
train,338035
train,1125507
train,1238770
train,1358449
train,1123063
train,1278434
train,602239
train,1230139
train,1358220
train,1219293
train,1294878
train,738362
train,1130876
train,773825
train,809517
train,1204017
train,683193
train,723086
train,1233293
train,836349
train,1266770
train,672347
train,1260354
train,1342126
train,737315
train,1178124
train,336170
train,890471
train,533420
train,1329294
train,1364986
train,606790
train,722268
train,1165292
train,1202970
train,877410
train,159107
train,791208
train,589528
train,1269924
train,826671
train,349941
train,1061828
train,1097520
train,183953
test,1270089
train,450372
train,1283924
train,1363710
train,643421
train,1397416
train,1306784
train,746067
train,615542
train,892578
train,10502
train,606682
train,1158997
train,1394154
train,39549
train,1179642
train,1381093
train,1063935
train,381324
train,647743
train,767422
train,1275643
train,1313321
train,754590
train,1302475
train,1060902
train,663958
train,382492
train,617649
train,1323120
train,800081
train,1079332
train,1280783
train,321136
train,1152702
train,1194581
train,948807
train,1104178
train,1301428
test,1379393
train,1135440
train,1213011
train,1206595
train,1242287
train,1124594
train,918484
train,954176
train,1151655
train,393459
train,1302596
train,1140809
train,380627
train,735463
train,105348
train,892820
train,932713
train,1136379
train,772912
train,409674
train,1167870
train,1283348
train,1295951
train,1354503
test,1358869
train,1365120
train,1072808
train,1301549
train,1255240
train,299794
train,1248824
train,1208702
train,1082607
train,1160178
train,876726
train,435688
train,710738
train,947881
train,1380288
train,899357
train,622092
train,1249763
train,128329
train,1318932
train,988942
train,1303885
train,665368
train,224330
train,379701
test,625640
train,1368624
train,893880
train,1366409
train,1280207
train,1361979
train,248947
train,1200192
train,120637
train,1342502
train,1100929
train,1214192
train,605180
train,44234
train,1394409
train,321270
train,1343899
train,508132
train,1266099
train,1381577
train,902632
train,818645
train,1133588
train,1175467
train,931908
train,1177682
train,1087050
train,841276
train,1275898
train,599703
train,874753
train,956525
train,1158205
train,156450
train,1231575
train,1395577
train,1214542
train,338882
train,1216528
train,1210112
train,1365483
train,924216
train,964109
train,1113064
train,1228542
train,1350207
train,867290
train,1390100
train,352653
train,946847
train,1299697
train,1204864
train,16247
test,1326694
train,1038647
train,1154125
train,1269603
train,1072124
train,1353590
train,1357791
train,1302851
train,819934
train,664334
train,1363389
train,449822
train,1042030
train,800457
train,989305
train,392667
train,900888
train,1297603
train,1295388
train,650684
train,931921
train,969599
train,327110
train,446789
train,604146
train,1398034
train,916874
test,1353876
train,712979
train,32583
train,618375
train,462775
train,1250247
train,1206153
train,655824
test,1374521
train,489836
train,884565
train,829625
train,665623
train,102920
train,703301
train,619314
train,734792
train,1219924
train,251646
train,407017
train,763839
train,167430
train,1118675
train,1389524
train,480158
train,391970
train,383339
train,1252583
train,1292247
train,212692
train,1075749
train,517018
train,1195199
train,789853
train,657342
train,703422
train,737128
train,1087534
test,1173901
train,684174
train,1398047
train,1194381
train,799423
train,946392
train,230304
train,1105964
train,826484
test,1068222
train,1221213
train,1298784
train,223659
train,1250489
train,536387
train,1130581
train,1328060
train,809222
train,685342
test,1170639
train,1283737
train,878391
train,321875
train,517139
train,601126
train,1075641
train,1386154
train,1342060
train,1299952
train,1054178
train,1094071
train,533354
train,932284
train,50208
train,1161025
train,367137
train,1114716
train,1311966
train,396184
train,436077
train,711127
train,824619
train,1179226
train,773880
train,693865
train,1202086
train,406212
train,639154
train,634724
train,826973
train,1273012
train,506414
train,1377644
train,338211
train,533475
train,615247
train,772833
train,932405
train,1049869
train,1121253
train,925760
train,163592
train,323164
train,1112622
train,1163132
train,1324919
train,354197
train,1376826
train,702617
train,1330288
train,693986
train,607784
train,1355363
train,521582
train,477488
train,1231025
train,1104930
train,1140622
train,663892
train,1129776
train,407272
train,726416
train,1037158
train,1320610
train,1194515
train,1389779
train,1152407
train,1110299
train,1303348
train,902203
train,1255053
train,1212945
train,1128958
train,811800
train,931479
train,1257039
test,1272586
train,927049
train,603704
train,962741
train,1077990
train,477380
train,823585
train,855076
train,1255992
train,1295885
train,775061
train,411823
train,812739
train,1129897
train,1331577
train,1125467
train,844001
train,1079158
train,835370
test,755749
train,1181804
train,383715
train,503394
train,620858
train,379285
train,774014
train,612227
train,1326100
train,1359806
train,605811
train,521824
train,643489
train,479716
train,1076125
train,916324
train,353621
train,1111588
train,989694
train,1103186
train,1113803
train,624241
train,745906
train,1273375
train,336359
train,1243281
train,1165481
train,1362960
train,800028
train,434575
train,713826
train,1186126
train,747074
train,1337067
train,1087092
train,1126985
train,173525
train,1246435
train,1120340
train,1395390
train,1069601
train,1143200
train,1308959
train,825813
train,382789
train,1060970
train,1373927
train,1373698
train,1132125
train,1127924
train,367742
train,682456
train,1232556
train,1341618
train,426065
train,656792
train,1171200
train,446481
train,1284234
train,916795
train,673007
test,918946
train,231969
train,1271402
train,32275
train,1222878
train,1378249
train,1058876
train,655745
train,1292047
train,95028
train,1369618
train,649100
train,924150
train,800270
train,964043
train,1150676
train,474481
train,988889
train,148921
train,463864
train,940365
train,1373001
test,665480
train,894056
train,933949
train,652483
train,326923
train,448588
train,488481
train,1280154
train,1229415
train,1065642
train,859532
train,775545
train,962178
test,970745
train,800391
train,642805
train,325647
train,1123736
train,1188704
train,1197106
train,1146596
train,350722
test,384135
train,803545
train,1042903
train,681651
train,431447
train,383152
train,422816
train,1132488
train,1325537
train,252398
train,605248
train,1201428
train,1237120
train,1308504
train,394937
train,396923
train,474723
train,235136
train,745572
train,745343
train,987145
test,1071297
train,1095978
train,1211227
train,885667
train,961252
train,763773
train,1114408
train,1189764
train,593355
train,939560
train,1330088
train,1092716
train,492106
train,1050608
train,1205979
train,840526
train,1359135
train,953789
train,1274919
train,783371
train,1098314
train,621584
train,1047346
train,1160838
train,765880
train,1360303
train,1271886
train,1387364
train,354118
train,534335
train,1132730
train,378735
train,1088407
train,884741
train,1287872
train,1272825
train,1386317
train,474736
train,1182422
train,226747
train,340239
train,64960
train,422011
train,1053883
train,890110
train,1131683
train,927788
train,1289269
train,925573
train,1236315
train,992756
train,1276208
train,908540
train,979695
train,1290437
test,765348
train,1157697
train,1153267
train,1069280
train,1144636
train,31604
train,858969
train,1142421
train,1167496
train,726458
train,925694
train,522563
train,325084
train,1351914
train,675719
train,1070448
train,713397
train,1143818
train,1376531
train,773935
train,775921
train,891399
train,1044555
train,926862
train,962554
train,1384344
train,823398
train,147203
train,821183
train,900969
train,1176019
train,934446
train,1127724
train,1207510
train,684471
train,883707
train,917413
train,1305497
test,1185983
train,223727
train,1368250
test,1288629
train,1044447
train,519422
train,1271202
train,1149079
train,1262342
train,1382021
train,502160
train,978661
train,1173925
train,409542
train,1287188
train,1320665
train,1156892
train,799841
train,757733
train,954983
train,826673
train,940165
train,1215215
train,1295001
train,1301188
train,891412
train,1158060
train,1237846
train,1357525
train,326265
train,521529
train,674914
train,672699
train,1140798
train,1220584
train,420280
train,649021
train,1287309
test,892745
train,1278907
train,764270
train,1358693
train,1190261
train,784915
train,1339216
train,1261416
train,1057750
train,108491
train,1381095
train,931655
train,1091227
train,1051105
train,534482
train,1046904
test,1131285
train,1078166
train,597235
train,954057
train,987763
train,947641
train,664189
train,1380048
test,825912
train,502173
train,735344
train,773022
train,890715
train,92626
train,411770
train,682619
train,365461
train,1320907
train,1316477
train,1194583
train,1146288
train,1387632
train,585571
train,866808
train,383891
train,1057871
test,1184131
train,536818
train,776176
test,341719
train,891654
train,1091119
train,1361968
train,883023
train,1275766
train,916500
train,1109549
train,1306799
train,1098703
train,934930
train,1254074
train,493892
train,1083885
train,609141
test,1247823
train,1159241
train,802190
train,837882
train,961762
train,516523
train,77471
train,791344
train,665249
train,534953
test,891940
test,1156373
train,1191671
train,397783
train,702109
train,857480
train,1298289
train,340628
train,773264
train,1361042
train,1003991
train,800325
test,1365408
train,325581
train,1234718
train,1110838
train,1232503
train,1228302
train,650323
train,93807
train,1200423
train,9591
train,916742
train,477690
train,790647
train,1071884
train,1264933
train,382857
train,1014729
test,1168050
train,1241255
train,1272746
test,1113339
test,955753
train,1228423
train,394642
train,818647
train,856325
train,852124
train,1370733
train,1049374
train,612537
train,368978
train,1278115
train,1078421
train,1311363
train,635168
train,1147590
train,1105482
train,1015079
train,890970
test,494420
train,449932
train,170452
train,1234960
train,1230759
train,1337606
train,508026
train,969709
train,763828
train,883507
train,1322330
train,870446
train,866245
train,782258
train,901937
train,1103388
train,502778
train,693841
train,891091
test,1176923
train,764767
train,1197403
train,323729
train,363622
train,355220
train,1195188
train,747734
train,989078
train,1341928
train,377851
train,419730
train,1051831
train,488670
train,681719
train,1345311
train,1343096
train,1261095
train,423113
train,502899
train,819828
train,532175
train,693733
train,809211
train,968783
train,962367
test,884961
train,1123925
train,1197524
train,834057
train,867534
train,1301927
train,1293525
train,1175832
train,1373082
train,850272
train,883749
train,247447
train,1078784
